45,0
24,1,21,10,16,3,25,17,30,18,28,12,1,15,2,13,23,23,6,12,26,20,9,22,29,6,4,14,20,5,15,13,17,27,11,25,10,7,2,19,14,30,8,11,3
1028,1016,1039,1025,1040,1014,1015,1033,1001,1008,1041,1026,1043,1020,1010,1005,1003,1013,1031,1017,1030,1002,1007,1018,1032,1027,1022,1023,1029,1044,1006,1024,1038,1004,1037,1009,1042,1021,1036,1012,1035,1045,1019,1011,1034
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
45,1
26,12,30,10,1,29,12,18,9,17,2,3,7,27,3,19,16,30,25,23,17,8,4,21,22,5,23,24,11,13,6,2,25,15,13,1,28,6,14,20,11,15,10,20,14
1030,1026,1045,1025,1016,1032,1017,1008,1007,1038,1010,1014,1021,1004,1034,1012,1040,1001,1015,1003,1033,1019,1022,1039,1018,1044,1013,1028,1011,1005,1027,1036,1009,1020,1024,1043,1041,1031,1035,1002,1037,1006,1042,1029,1023
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
45,2
17,25,15,19,24,14,7,10,15,20,25,1,12,17,14,5,2,26,11,27,10,22,21,8,13,30,18,3,1,6,20,23,23,4,28,11,13,6,29,30,12,16,3,2,9
1033,1009,1006,1012,1028,1023,1021,1042,1020,1029,1015,1043,1017,1038,1035,1044,1036,1030,1037,1004,1025,1018,1039,1019,1024,1045,1008,1034,1016,1031,1002,1013,1003,1022,1041,1011,1005,1027,1032,1001,1026,1040,1014,1010,1007
0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
45,3
26,23,14,25,7,3,17,25,14,2,20,17,4,20,21,6,28,13,18,13,11,30,19,15,23,9,11,15,12,30,29,6,2,10,10,16,3,12,5,22,1,24,8,1,27
1030,1003,1035,1015,1021,1034,1038,1009,1023,1010,1002,1033,1022,1029,1039,1027,1041,1005,1008,1024,1011,1045,1012,1006,1013,1007,1037,1020,1026,1001,1032,1031,1036,1042,1025,1040,1014,1017,1044,1018,1043,1028,1019,1016,1004
1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1
45,4
28,25,11,23,23,1,10,18,20,5,12,29,30,19,6,24,13,25,30,2,15,8,27,14,22,14,13,10,21,4,16,11,17,17,7,12,15,26,3,1,9,2,6,20,3
1041,1015,1011,1003,1013,1016,1025,1008,1029,1044,1017,1032,1001,1012,1031,1028,1005,1009,1045,1036,1006,1019,1004,1035,1018,1023,1024,1042,1039,1022,1040,1037,1033,1038,1021,1026,1020,1030,1014,1043,1007,1010,1027,1002,1034
0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
45,5
21,3,30,7,1,15,10,12,9,29,18,20,17,14,16,11,14,22,17,23,24,5,4,27,25,13,25,12,19,30,3,8,20,15,6,2,13,6,26,28,23,10,2,11,1
1039,1034,1045,1021,1043,1020,1042,1026,1007,1032,1008,1002,1033,1035,1040,1037,1023,1018,1038,1013,1028,1044,1022,1004,1015,1005,1009,1017,1012,1001,1014,1019,1029,1006,1031,1010,1024,1027,1030,1041,1003,1025,1036,1011,1016
1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0
45,6
12,6,6,17,11,26,25,8,20,10,17,15,9,14,23,14,3,4,27,3,18,22,12,20,19,21,30,2,5,28,25,2,1,13,1,15,30,16,23,29,24,11,7,13,10
1017,1031,1027,1033,1011,1030,1015,1019,1029,1042,1038,1006,1007,1023,1003,1035,1034,1022,1004,1014,1008,1018,1026,1002,1012,1039,1001,1036,1044,1041,1009,1010,1016,1024,1043,1020,1045,1040,1013,1032,1028,1037,1021,1005,1025
1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
45,7
12,11,20,23,17,28,18,3,6,11,25,25,30,7,21,17,3,26,14,10,14,1,20,6,5,24,2,10,2,27,12,19,15,13,1,23,30,22,8,16,29,13,15,4,9
1017,1011,1002,1003,1038,1041,1008,1014,1031,1037,1015,1009,1001,1021,1039,1033,1034,1030,1023,1042,1035,1016,1029,1027,1044,1028,1010,1025,1036,1004,1026,1012,1006,1024,1043,1013,1045,1018,1019,1040,1032,1005,1020,1022,1007
0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1
45,8
8,11,3,30,17,22,10,28,18,2,10,21,1,26,23,9,14,11,25,19,6,17,5,30,20,25,2,12,14,13,29,12,20,13,1,15,23,4,27,15,16,6,24,7,3
1019,1011,1014,1001,1033,1018,1025,1041,1008,1010,1042,1039,1043,1030,1013,1007,1023,1037,1009,1012,1031,1038,1044,1045,1029,1015,1036,1026,1035,1005,1032,1017,1002,1024,1016,1020,1003,1022,1004,1006,1040,1027,1028,1021,1034
1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
45,9
10,18,2,11,26,15,30,17,20,22,23,3,13,21,9,8,25,7,19,16,23,20,5,12,3,29,10,17,24,2,6,1,14,30,15,6,13,14,27,28,11,1,12,25,4
1025,1008,1010,1011,1030,1006,1001,1038,1029,1018,1013,1034,1024,1039,1007,1019,1015,1021,1012,1040,1003,1002,1044,1017,1014,1032,1042,1033,1028,1036,1031,1016,1023,1045,1020,1027,1005,1035,1004,1041,1037,1043,1026,1009,1022
1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1
45,10
29,8,23,12,20,21,13,16,23,11,10,18,14,25,2,6,17,15,13,19,5,9,28,2,3,10,7,25,14,20,1,11,26,1,17,6,24,4,27,22,15,30,3,30,12
1032,1019,1013,1017,1029,1039,1005,1040,1003,1037,1042,1008,1035,1009,1010,1027,1038,1006,1024,1012,1044,1007,1041,1036,1014,1025,1021,1015,1023,1002,1043,1011,1030,1016,1033,1031,1028,1022,1004,1018,1020,1045,1034,1001,1026
1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1
45,11
15,11,25,24,23,20,18,10,6,7,28,27,8,13,3,30,16,5,19,6,11,9,26,1,14,29,14,23,17,25,22,4,21,15,13,2,17,10,1,3,30,2,12,20,12
1020,1011,1009,1028,1013,1002,1008,1042,1031,1021,1041,1004,1019,1024,1034,1001,1040,1044,1012,1027,1037,1007,1030,1016,1023,1032,1035,1003,1033,1015,1018,1022,1039,1006,1005,1010,1038,1025,1043,1014,1045,1036,1017,1029,1026
0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0
45,12
15,21,12,10,14,11,27,9,7,3,25,20,2,30,12,18,29,11,6,24,3,6,30,23,22,14,5,10,8,13,20,23,1,19,4,28,26,25,2,17,15,1,16,13,17
1020,1039,1026,1042,1023,1037,1004,1007,1021,1034,1009,1002,1036,1001,1017,1008,1032,1011,1031,1028,1014,1027,1045,1013,1018,1035,1044,1025,1019,1024,1029,1003,1043,1012,1022,1041,1030,1015,1010,1038,1006,1016,1040,1005,1033
1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1
45,13
14,15,17,11,6,14,12,4,15,23,6,1,21,3,12,30,5,17,7,16,13,8,10,20,24,25,30,26,10,20,1,2,23,9,22,18,19,2,29,25,13,11,27,28,3
